animal_id,Pit,sex,age,date,svl,tail-length,body-mass,feeding
523,9.82126E+14,F,NA,10-Jun-19,20.9,29.5,375,moderate
48,42637A0937,F,NA,04-Jun-01,27.8,37.9,810,moderate
11,413903685C,F,NA,29-May-02,25.5,39.0,830,moderate
56,426359561F,F,NA,21-May-03,23.4/23.4,34.8,540,moderate
87,44232F6202,F,NA,21-May-03,24.1/24.4,35.2,580,moderate
93,44247D1972,F,NA,22-May-03,28.2/28.1,38.0,970,moderate
118,45336D6830,F,NA,27-May-05,22,27.8,510,moderate
59,501F776B48,F,NA,04-Jun-05,27.2,41.3,990,moderate
146,452E717F60,F,NA,27-May-06,24.2,35.6,720,moderate
156,see notes,F,NA,04-Jun-06,27.4,34.5,860,moderate
188,4B21121D4E,F,NA,24-May-08,23.2,23.0/25.7,570,moderate
190,4B1D4D352D,F,NA,24-May-08,23.5,9.8/16.7,500,moderate
206,4B211F7A76,F,NA,25-May-08,26,36.8,720,moderate
214,4B2132172B,F,NA,01-Jun-08,22.7,34.2,530,moderate
243,4B1736286F,F,NA,24-May-09,21.9,17.5/22.8,430,moderate
270,9.85121E+14,F,NA,19-May-10,24.1,35.0,460,moderate
113,4428645223,F,NA,17-May-12,23.1,33.1,590,moderate
308,9.85121E+14,F,NA,17-May-12,23.9,36.0,610,moderate
313,9.85121E+14,F,NA,17-May-12,27.2,41.8,1040,moderate
323,9.85121E+14,F,NA,17-May-12,24.4,36.1,690,moderate
270,9.85121E+14,F,NA,21-May-13,24.3,35.1,490,moderate
440,9.89001E+14,F,NA,17-Jun-16,22.6,34.0,470,moderate
477,9.82E+14,F,NA,05-Sep-18,28,37.2,890,moderate
193,4B1E086C25,F,NA,10-Jun-19,24.4,33.9,475,moderate
38,501F691574,F,NA,27-May-01,24.5,37.7,710,moderate
79,44243F3D6D,F,NA,21-May-03,29.3/28.0,40.6,710,moderate
139,453432497A,F,NA,04-Jun-05,25.3,25.1,680,moderate
146,452E717F60,F,NA,01-Jun-08,26.2,35.9,690,moderate
236,4B212B2240,F,NA,23-May-09,27.7,21.1/26.3,790,moderate
238,4B21456047,F,NA,23-May-09,29.9,42.8,1110,moderate
250,4B1E243874,F,NA,30-May-09,26.6,36.7,850,moderate
259,4B2174394A,F,NA,31-May-09,24.3,34.7,630,moderate
205,4B1E0D4141,F,NA,01-Jun-09,26.4,31.2/31.8,730,moderate
264,4B212A6019,F,NA,01-Jun-09,24.2,35.0,700,moderate
278,9.85121E+14,F,NA,20-May-10,25.3,36.5,610,moderate
282,4B21297303,F,NA,21-May-10,25,27.8/29.5,610,moderate
292,9.85121E+14,F,NA,27-May-10,21.7,30.0,460,moderate
372,9.85121E+14,F,NA,17-May-13,24.3,27.6,515,moderate
409,9.89001E+14,F,NA,11-Apr-14,25,30.9,620,moderate
452,9.82E+14,F,NA,23-Apr-18,26.2,37.4,800,moderate
482,9.82E+14,F,NA,05-Sep-18,25,21.0/25.1,630,moderate
489,9.82E+14,F,NA,05-Sep-18,25,32.5,635,moderate
500,9.82E+14,F,NA,05-Sep-18,27.2,36.0,930,moderate
99,442471304F,F,NA,10-Jun-19,24.6,29.1,510,moderate
197,4B21316F1A,F,NA,10-Jun-19,24,35.9,580,moderate
250,4B1E243874,F,NA,10-Jun-19,26.4,36.3,750,moderate
507,9.82126E+14,F,NA,10-Jun-19,23.9,31.7,490,moderate
513,9.82126E+14,F,NA,10-Jun-19,26,35.3,615,moderate
533,9.82126E+14,F,NA,10-Jun-19,23.1,33.4,435,moderate
260,414F210A45,F,NA,12-Jun-19,23.6,34.9,635,moderate
36,50202C4334,F,NA,27-May-01,28.4,38.2,910,moderate
46,42644B2A03,F,NA,04-Jun-01,28.1,24.6/28.2,770,moderate
51,4264061A50,F,NA,04-Jun-01,25.6,37.6,750,moderate
59,501F776B48,F,NA,05-Jun-01,25.9,39.7,900,moderate
123,452E2F4370,F,NA,27-May-05,25.3,32.0,760,moderate
8,41390C3B64,F,NA,04-Jun-06,26.7,37.9,860,moderate
207,4B2134627D,F,NA,25-May-08,27.9,33.7,940,moderate
237,4B2200767D,F,NA,23-May-09,23.5,32.8,580,moderate
251,4B0122187F,F,NA,30-May-09,26.5,38.2,790,moderate
288,9.85121E+14,F,NA,27-May-10,29,35.5,1100,moderate
290,9.85121E+14,F,NA,27-May-10,22.8,32.2,500,moderate
294,9.85121E+14,F,NA,27-May-10,21,30.0,380,moderate
330,9.85121E+14,F,NA,18-May-12,28.5,17.7/28.1,730,moderate
354,4B1D6C3972,F,NA,14-May-13,26.9,36.7,740,moderate
484,9.82E+14,F,NA,05-Sep-18,23.1,21.0/25.2,545,moderate
527,9.82126E+14,F,NA,10-Jun-19,25.9,37.2,655,moderate
35,5020132C56,F,NA,27-May-01,26.8,39.7,860,moderate
50,4265337A2D,F,NA,04-Jun-01,28.4,38.0,970,moderate
50,4265337A2D,F,NA,21-May-03,29.1/29.4,39.0,1070,moderate
80,44221E2270,F,NA,21-May-03,24.8/26.2,36.5,730,moderate
62,4263764D0F,F,NA,24-May-08,27.8,38.8,870,moderate
196,4B1D7E5371,F,NA,24-May-08,24.1,22.4/27.4,530,moderate
211,4B1E141A38,F,NA,26-May-08,32.1,46.9,1280,moderate
245,4A75095805,F,NA,24-May-09,28.4,41.3,1130,moderate
254,4A74700B28,F,NA,30-May-09,28,38.3,890,moderate
62,4263764D0F,F,NA,31-May-09,27,39.7,890,moderate
50,4265337A2D,F,NA,19-May-10,27.5,27.1/28,980,moderate
341,9.85121E+14,F,NA,25-May-12,26.8,34.7,840,moderate
146,452E717F60,F,NA,07-Sep-16,25.2,37.4,690,moderate
170,491C720932,F,NA,07-Sep-16,28.1,36.6,760,moderate
199,4B215E100B,F,NA,05-Sep-18,24.9,32.3,670,moderate
341,9.85121E+14,F,NA,12-Jun-19,DEAD,DEAD,DEAD,moderate
534,9.82126E+14,F,NA,12-Jun-19,24.3,33.9,530,moderate
47,501D517761,F,NA,04-Jun-01,31,45.1,1270,moderate
47,501D517761,F,NA,19-May-10,30.5,45.6,940,moderate
39,42654C025D,F,NA,27-May-10,26.5,25.3/28.5,630,moderate
250,4B1E243874,F,NA,07-Sep-16,26,36.1,690,moderate
62,4263764D0F,F,NA,10-Jun-19,27.9,40.0,730,moderate
42,42652C285A,F,NA,27-May-01,36.2,46.4,1530,moderate
66,43054C7027,F,NA,21-May-02,28.6,41.8,960,moderate
256,4B15596A0B,F,NA,31-May-09,26.6,37.4,860,moderate
257,4B1F367D5B,F,NA,31-May-09,29.4,40.9,1010,moderate
11,413903685C,F,NA,13-May-13,31.2,43.3,1630,moderate
170,491C720932,F,NA,05-Sep-18,26.6,36.4,830,moderate
11,413903685C,F,NA,10-Jun-19,33.1,41.8,1405,moderate
39,42654C025D,F,NA,27-May-01,25.5,21.5/27.5,760,moderate
11,413903685C,F,NA,27-May-06,29.2,41.5,1160,moderate
506,9.82126E+14,F,NA,10-Jun-19,26,38.1,700,moderate
53,5020297E2E,F,NA,04-Jun-01,30.9,42.8,1110,moderate
2,41386B1B0A,F,NA,29-May-02,37.1,49.8,2070,moderate
7,413870671A,F,NA,29-May-02,33.5,47.3,1380,moderate
170,491C720932,F,NA,10-Jun-19,27.8,36.7,715,moderate
54,42640A7314,F,NA,04-Jun-01,21.4,30.6,410,moderate
31,5020165301,F,NA,01-Jun-08,18.5,27.3,260,moderate
224,4B21565025,F,NA,01-Jun-08,14.4,21.5,140,moderate
369,4B0A02204A,F,NA,17-May-13,10.6,18.2,55,moderate
374,9.89001E+14,F,NA,21-May-13,14.1,22.0,130,moderate
408,9.89001E+14,F,NA,11-Apr-14,10,16.4,44,moderate
127,452F18024A,F,NA,04-Jun-06,16.7,24.8,230,moderate
170,491C720932,F,NA,27-May-07,17.6/16.9,24.2/24.4,210,moderate
171,491A251836,F,NA,27-May-07,16.1/15.9,24.7/24.6,190,moderate
180,490E6E6E23,F,NA,02-Jun-07,21.2/20.9,24.2/24.6,470,moderate
181,491658500A,F,NA,02-Jun-07,20.3/20.1,21.3/21.9,400,moderate
198.2,4B1E0A485B,F,NA,24-May-08,16.5,26.7,220,moderate
202,4B1D5D0E6D,F,NA,24-May-08,16.2,10.9/16.2,200,moderate
228,4B21157739,F,NA,01-Jun-08,17.8,27.9,240,moderate
255,4B214D4A61,F,NA,30-May-09,20,29.3,355,moderate
260,414F210A45,F,NA,01-Jun-09,14,21.8,130,moderate
343,9.85121E+14,F,NA,25-May-12,18.1,24.3,240,moderate
358,9.85121E+14,F,NA,14-May-13,16.5,23.5,184,moderate
