animal_id,sex,age,date,svl,tail-length,body-mass,feeding
13A,female,NA,6/23/16,34.3,44.2,1365,none
13A,female,NA,5/16/17,33,44,1230,none
13B,female,NA,5/20/16,22.9,30.5,565,none
13B,female,NA,5/16/17,24.1,31.5,600,none
140A,female,2.8,7/14/08,13.5,18.5,85,none
140A,female,6.6,5/9/12,21,27.2,378,none
140A,female,10.7,5/20/16,23.7,31.5,495,none
140A,female,12.7,6/3/18,24,32.5,510,none
140A,female,13.7,5/20/19,24.3,30.3,520,none
141A,female,NA,7/16/08,25.8,35,683,none
141A,female,NA,5/20/11,28.2,38,893,none
141A,female,NA,5/16/17,29.5,39.5,1140,none
14A,female,NA,5/19/03,25.2,37,700,none
14A,female,NA,5/20/16,33.3,46,1224,none
14A,female,NA,5/16/17,33.5,46.1,1433,none
14A,female,NA,5/20/19,33.3,46.1,1160,none
14B,male,NA,5/20/16,21.7,30.1,465,none
150/0,male,NA,7/16/08,20.3,26.3,310,none
150/0,male,NA,5/15/17,29.5,37.8,1000,none
150A,male,NA,7/14/08,23,30.7,514,none
150A,male,NA,5/19/10,26.8,35.4,690,none
150A,male,NA,5/20/16,32,41.5,1411,none
150A,male,NA,5/16/17,32.9,42.2,1360,none
150A,male,NA,6/3/18,32.8,40.7,1285,none
151A,female,NA,7/14/08,20.7,27.7,374,none
151A,female,NA,5/9/12,27,36.7,790,none
151A,female,NA,5/20/16,28.7,38,985,none
152A,male,2.8,7/15/08,13.5,18.9,105,none
152A,male,6.6,5/9/12,19.5,26.1,315,none
152A,male,10.7,5/20/16,26.5,34.4,700,none
152A,male,10.9,9/8/16,26.5,35.2,805,none
152A,male,11.7,5/16/17,27.9,35.4,795,none
152A,male,13.7,5/20/19,28,36.2,870,none
153A,male,NA,7/15/08,25.6,34.9,694,none
153A,male,NA,5/20/11,29.2,39,924,none
153A,male,NA,5/9/12,30.1,40.2,1038,none
153A,male,NA,5/16/17,34.5,42.7,1370,none
154A,female,4.8,7/15/08,18.1,24.5,250,none
155A,male,NA,7/15/08,21.2,NA,350,none
156A,female,NA,7/15/08,27.5,37.6,780,none
157A,female,NA,7/15/08,32.2,41.2,1390,none
157A,female,NA,7/14/09,33.6,41.2,1270,none
157A,female,NA,5/19/10,32.5,42.1,1145,none
157A,female,NA,6/24/16,33.5,42.7,1260,none
158A,male,5.8,7/3/07,19.5,26.7,320,none
158A,male,6.6,5/15/08,21.7,29.2,370,none
158A,male,6.8,7/17/08,21.7,30.1,430,none
158A,male,10.6,5/9/12,28.3,37.5,904,none
158B,female,2.8,7/16/08,15.2,21,160,none
