animal_id,Pit,sex,age,date,svl,tail-length,body-mass,feeding
79,985121024821875,M,NA,22-May-12,26.3,41.1,850,high
84,985121024775393,M,NA,22-May-12,26.5,41,950,high
8,501D526142,F,NA,22-May-00,27.4,42.7,890,none
176,982000407478932,F,NA,04-Sep-18,27.5,40.0,1000,high
37,4B1E21767D,F,NA,24-May-09,27.6,43,1030,high
87,985121024902908,M,NA,12-May-13,28.1,42.9,1070,high
95,985121024798791,M,NA,13-May-13,28.5,43.6,895,high
82,985121024905713,M,NA,22-May-12,28.7,46,1360,high
119,989001003028653,M,NA,12-Apr-14,28.9,42.8,1165,high
121,989001003028630,F,NA,12-Apr-14,29,42.8,965,high
6,501E610000,M,NA,22-May-00,29.0,43.3,1000,none
220,982126056325246,F,NA,11-Jun-19,29.1,42.7,940,high
104,4A0E534136,M,NA,18-May-13,29.1,45.2,1250,high
122,989001003028627,M,NA,12-Apr-14,29.1,42.5,1100,high
74,985121024811893,F,NA,20-May-12,29.5,48.3,1350,high
88,4B1D690834,M,NA,12-May-13,30,36.8,1265,high
150,982000409784650,F,NA,24-Apr-18,30.2,44.5,1485,high
63,985121024809347,M,NA,19-May-12,30.2,44.5,1250,high
71,985121024820567,F,NA,20-May-12,30.3,48.9,1570,high
13,44284C2267,F,NA,30-May-03,30.5,46.3,1470,none
65,985121024897825,F,NA,11-Jun-19,30.5,32.3/36.4,1035,high
133,982000409784572,M,NA,04-Sep-18,30.5,45.6,1200,high
113,989001000105626,F,NA,19-May-13,30.6,47.8,1380,high
79,985121024821875,M,NA,12-Apr-14,30.6,45.2,1250,high
222,982126056325330,M,NA,11-Jun-19,30.7,45.4,1200,high
notes,982000409784615,F,NA,24-Apr-18,30.8,45.9,1730,high
89,4A0E384047,F,NA,12-May-13,30.9,44.9,1525,high
200,982126056325429,F,NA,11-Jun-19,30.9,43.1,940,high
109,989001000105659,M,NA,18-May-13,30.9,46.5,1410,high
140,982000409784580,F,NA,23-Apr-18,31.0,46.7,1455,high
135,982000409784669,M,NA,11-Jun-19,31.1,45.6,1500,high
182,982000407478936,M,NA,04-Sep-18,31.2,42.9,1300,high
133,982000409784572,M,NA,11-Jun-19,31.2,47.4,1430,high
49,4B083A7D69,F,NA,04-Sep-18,31.3,43.8,1520,high
161,982000407478950,F,NA,04-Sep-18,31.3,47.9,1480,high
191,982126056325344,F,NA,11-Jun-19,31.5,43.7,970,high
226,982126056325245,F,NA,12-Jun-19,31.6,46,1285,high
55,4B1E08183B,M,NA,19-May-12,31.6,47.3,1780,high
64,985121024826493,M,NA,13-May-13,31.6,45.1,1340,high
140,982000409784580,F,NA,04-Sep-18,31.7,50.5,1680,high
54,4B21207A25,F,NA,04-Sep-18,31.7,42.6,1420,high
224,982126056325239,F,NA,12-Jun-19,31.8,44.2,920,high
210,982126056325333,F,NA,11-Jun-19,31.8,35.3,960,high
212,982126056325422,F,NA,11-Jun-19,31.9,46.3,1495,high
101,4B08526A3B,M,NA,16-May-13,31.9,46.3,1170,high
184,982000407478941,F,NA,04-Sep-18,32.0,47.2,1690,high
137,982000409784601,F,NA,07-Sep-16,32.0,46.8,1440,high
3,4139157D1C,F,NA,11-Nov-98,32.1,48.5,1500,none
105,4B1D4B6F33,F,NA,18-May-13,32.1,49.9,1405,high
227,982126056325263,F,NA,12-Jun-19,32.1,47,1220,high
115,989001003028675,M,NA,07-Sep-16,32.2,53.6,1780,high
43,4B1442202C,F,NA,27-May-09,32.5,50.9,1760,high
223,982126056325273,F,NA,11-Jun-19,32.6,45.5,1705,high
202,982126056325380,F,NA,11-Jun-19,32.8,46.3,1155,high
134,982000409784662,F,NA,07-Sep-16,32.8,48.5,1705,high
62,985121024818946,F,NA,19-May-12,32.8,51,2000,high
163,982000407478959,F,NA,04-Sep-18,32.9,46.3,1375,high
137,982000409784601,F,NA,12-Jun-19,33.0,48.7,1295,high
228,982126056325278,F,NA,12-Jun-19,33,47.6,1495,high
192,982126056325358,F,NA,11-Jun-19,33,47.9,1185,high
106,4B1D4D1851,M,NA,18-May-13,33,51.8,1425,high
10,44271D031B,M,NA,28-May-03,33,51.2,1940,none
157,982000409784644,F,NA,24-Apr-18,33.1,47.8,1955,high
115,989001003028675,M,NA,04-Sep-18,33.1,55.5,2140,high
52,4B1D657437,F,NA,04-Sep-18,33.2,51.0,1895,high
177,982000407478958,F,NA,04-Sep-18,33.2,49.7,1565,high
199,982126056325390,F,NA,11-Jun-19,33.2,40.5,1130,high
63,985121024809347,M,NA,13-May-13,33.2,49,1755,high
86,4B1D676323,M,NA,12-May-13,33.2,48.5,1790,high
194,982126056325385,F,NA,11-Jun-19,33.3,48.8,1310,high
56,4A0E49250A,F,NA,24-May-10,33.5,48,1700,high
35,4B1D657720,F,NA,01-Jun-08,33.5,49.7,1600,high
188,982000407478934,F,NA,04-Sep-18,33.5,47.3,1570,high
