animal_id,Island
44B,LeafCay
44D,LeafCay
44E,LeafCay
44/0A,LeafCay
44/0B,LeafCay
45C,LeafCay
45D,LeafCay
45/0A,LeafCay
45/0B,LeafCay
46B,LeafCay
46E,LeafCay
47D,LeafCay
48B,LeafCay
48C,LeafCay
48D,LeafCay
48E,LeafCay
48/0A,LeafCay
48/0B,LeafCay
49B,LeafCay
49C,LeafCay
49D,LeafCay
49/0A,LeafCay
49/0B,LeafCay
49/0C,LeafCay
50B,LeafCay
50/60A,LeafCay
50/60B,LeafCay
50/90A,LeafCay
50/0B,LeafCay
51D,LeafCay
51E,LeafCay
51/9B,LeafCay
51/0A,LeafCay
52D,LeafCay
52/6A,LeafCay
52/6B,LeafCay
52/8A,LeafCay
52/8B,LeafCay
52/9A,LeafCay
52/9B,LeafCay
52/0A,LeafCay
52/0B,LeafCay
53C,LeafCay
53E,LeafCay
53/0A,LeafCay
53/0B,LeafCay
54D,LeafCay
54/7A,LeafCay
54/7B,LeafCay
54/8A,LeafCay
54/8B,LeafCay
54/0B,LeafCay
56E,LeafCay
56/0A,LeafCay
56/0B,LeafCay
57B,LeafCay
57D,LeafCay
57/0A,LeafCay
57/0B,LeafCay
58B,LeafCay
58C,LeafCay
58E,LeafCay
58/0B,LeafCay
59E,LeafCay
59F,LeafCay
59/0B,LeafCay
61D,LeafCay
61E,LeafCay
61F,LeafCay
61/6B,LeafCay
61/7B,LeafCay
61/8A,LeafCay
61/8B,LeafCay
61/0C,LeafCay
62/0A,LeafCay
63D,LeafCay
63/8A,LeafCay
63/8B,LeafCay
63/0A,LeafCay
64B,LeafCay
64/5A,LeafCay
64/6B,LeafCay
64/8B,LeafCay
64/9A,LeafCay
64/9C,LeafCay
64/0A,LeafCay
64/0B,LeafCay
65B,LeafCay
65D,LeafCay
65/6B,LeafCay
65/7A,LeafCay
65/7B,LeafCay
65/8A,LeafCay
66A,LeafCay
67C,LeafCay
67E,LeafCay
67/0A,LeafCay
68/0A,LeafCay
69C,LeafCay
69E,LeafCay
69/0A,LeafCay
70B,LeafCay
70D,LeafCay
70E,LeafCay
71A,LeafCay
71C,LeafCay
71/6B,LeafCay
71/7A,LeafCay
71/7B,LeafCay
71/8A,LeafCay
71/8B,LeafCay
71/9A,LeafCay
71/9B,LeafCay
71/0A,LeafCay
71/0B,LeafCay
72B,LeafCay
72D,LeafCay
72/0A,LeafCay
72/0B,LeafCay
73B,LeafCay
73D,LeafCay
73/8A,LeafCay
73/9A,LeafCay
73/0A,LeafCay
73/0B,LeafCay
74E,LeafCay
74/7A,LeafCay
74/7B,LeafCay
74/8A,LeafCay
74/8B,LeafCay
74/9A,LeafCay
74/9B,LeafCay
74/0A,LeafCay
75A,LeafCay
75C,LeafCay
75D,LeafCay
75/6A,LeafCay
75/6B,LeafCay
75/7B,LeafCay
75/8A,LeafCay
75/9A,LeafCay
76A,LeafCay
76B,LeafCay
77C,LeafCay
77/0A,LeafCay
77/0B,LeafCay
78B,LeafCay
78C,LeafCay
78D,LeafCay
78/0A,LeafCay
79B,LeafCay
79C,LeafCay
80C,LeafCay
80D,LeafCay
80/0A,LeafCay
80/0B,LeafCay
80/0C,LeafCay
81C,LeafCay
81/6A,LeafCay
81/8A,LeafCay
81/8B,LeafCay
81/9A,LeafCay
81/9B,LeafCay
81/0A,LeafCay
81/0B,LeafCay
82C,LeafCay
82D,LeafCay
82/6B,LeafCay
82/8A,LeafCay
82/9B,LeafCay
82/0A,LeafCay
82/0B,LeafCay
83C,LeafCay
83E,LeafCay
83/6A,LeafCay
83/8A,LeafCay
83/0A,LeafCay
83/0C,LeafCay
84C,LeafCay
84D,LeafCay
84E,LeafCay
84/7B,LeafCay
84/8A,LeafCay
84/9A,LeafCay
84/9B,LeafCay
84/0B,LeafCay
85B,LeafCay
85C,LeafCay
85D,LeafCay
85/6A,LeafCay
85/7A,LeafCay
85/7B,LeafCay
85/0A,LeafCay
85/0B,LeafCay
86B,LeafCay
86D,LeafCay
86/0A,LeafCay
87C,LeafCay
87D,LeafCay
87/0A,LeafCay
87/0B,LeafCay
87/12A,LeafCay
88D,LeafCay
88E,LeafCay
88F,LeafCay
88G,LeafCay
88/20A,LeafCay
88/30A,LeafCay
88/40A,LeafCay
88/50B,LeafCay
89B,LeafCay
89C,LeafCay
89D,LeafCay
89/0B,LeafCay
90C,LeafCay
90D,LeafCay
90E,LeafCay
90F,LeafCay
90H,LeafCay
90/0D,LeafCay
91E,LeafCay
91/6B,LeafCay
91/7A,LeafCay
91/8A,LeafCay
91/8B,LeafCay
91/9A,LeafCay
91/0A,LeafCay
91/0B,LeafCay
92D,LeafCay
92/9A,LeafCay
92/9B,LeafCay
92/0A,LeafCay
93A,LeafCay
93/7A,LeafCay
93/7B,LeafCay
93/8A,LeafCay
93/8B,LeafCay
93/9A,LeafCay
93/0A,LeafCay
93/0B,LeafCay
94A,LeafCay
94C,LeafCay
94E,LeafCay
94/7A,LeafCay
94/0B,LeafCay
95B,LeafCay
95C,LeafCay
95/6A,LeafCay
95/7A,LeafCay
95/8B,LeafCay
95/9A,LeafCay
95/9B,LeafCay
96D,LeafCay
96E,LeafCay
97D,LeafCay
97E,LeafCay
97F,LeafCay
98A,LeafCay
98D,LeafCay
98E,LeafCay
98/0A,LeafCay
98/0B,LeafCay
99B,LeafCay
99C,LeafCay
99D,LeafCay
99/0A,LeafCay
100B,LeafCay
100C,LeafCay
101D,LeafCay
101/6A,LeafCay
101/8A,LeafCay
101/9A,LeafCay
101/0A,LeafCay
101/0B,LeafCay
102A,LeafCay
102C,LeafCay
102D,LeafCay
102/8A,LeafCay
102/0B,LeafCay
103B,LeafCay
103/6A,LeafCay
103/7A,LeafCay
103/8A,LeafCay
103/0C,LeafCay
104C,LeafCay
104E,LeafCay
104/7A,LeafCay
104/8A,LeafCay
104/9A,LeafCay
105B,LeafCay
105D,LeafCay
105F,LeafCay
105/6A,LeafCay
105/7A,LeafCay
105/8A,LeafCay
105/9A,LeafCay
105/0A,LeafCay
105/0B,LeafCay
106C,LeafCay
106E,LeafCay
107D,LeafCay
107/0C,LeafCay
108C,LeafCay
108D,LeafCay
108/0A,LeafCay
108/0B,LeafCay
109A,LeafCay
109B,LeafCay
109C,LeafCay
109D,LeafCay
110A,LeafCay
110/6A,LeafCay
110/7A,LeafCay
110/8A,LeafCay
110/9A,LeafCay
110/0A,LeafCay
110/0B,LeafCay
112A,LeafCay
112B,LeafCay
112C,LeafCay
112/0A,LeafCay
112/0B,LeafCay
113A,LeafCay
113B,LeafCay
114B,LeafCay
114/0A,LeafCay
114/0B,LeafCay
115B,LeafCay
115D,LeafCay
115E,LeafCay
115/0A,LeafCay
115/0B,LeafCay
116B,LeafCay
116C,LeafCay
117B,LeafCay
117C,LeafCay
117D,LeafCay
118A,LeafCay
118B,LeafCay
118C,LeafCay
118D,LeafCay
119B,LeafCay
119D,LeafCay
119E,LeafCay
120C,LeafCay
120/0A,LeafCay
121A,LeafCay
121B,LeafCay
121C,LeafCay
122B,LeafCay
122D,LeafCay
123C,LeafCay
124C,LeafCay
125D,LeafCay
126B,LeafCay
126C,LeafCay
127A,LeafCay
128B,LeafCay
129A,LeafCay
129B,LeafCay
129D,LeafCay
130C,LeafCay
130/0A,LeafCay
131B,LeafCay
131C,LeafCay
131D,LeafCay
132/9A,LeafCay
133C,LeafCay
133D,LeafCay
134D,LeafCay
135B,LeafCay
136C,LeafCay
136D,LeafCay
137E,LeafCay
138D,LeafCay
139D,LeafCay
140B,LeafCay
140C,LeafCay
140D,LeafCay
140/0A,LeafCay
141B,LeafCay
141C,LeafCay
141D,LeafCay
141E,LeafCay
142B,LeafCay
142C,LeafCay
143B,LeafCay
143C,LeafCay
144C,LeafCay
144D,LeafCay
145B,LeafCay
145C,LeafCay
146B,LeafCay
146C,LeafCay
146D,LeafCay
147A,LeafCay
147B,LeafCay
147C,LeafCay
149D,LeafCay
149E,LeafCay
151A,LeafCay
151B,LeafCay
152B,LeafCay
153A,LeafCay
153B,LeafCay
154B,LeafCay
154C,LeafCay
154D,LeafCay
155B,LeafCay
156B,LeafCay
157A,LeafCay
158C,LeafCay
159B,LeafCay
159C,LeafCay
159D,LeafCay
150/0B,LeafCay
150/0C,LeafCay
160B,LeafCay
169/0A,LeafCay
160/0C,LeafCay
160/0D,LeafCay
160/0E,LeafCay
160/0F,LeafCay
161A,LeafCay
162B,LeafCay
163B,LeafCay
163C,LeafCay
164A,LeafCay
164B,LeafCay
164C,LeafCay
165B,LeafCay
166A,LeafCay
166C,LeafCay
167A,LeafCay
167B,LeafCay
168A,LeafCay
168B,LeafCay
169A,LeafCay
169B,LeafCay
169C,LeafCay
170C,LeafCay
170E,LeafCay
170/0A,LeafCay
170/0B,LeafCay
170/0C,LeafCay
171B,LeafCay
