animal_id,sex,age,date,svl,tail-length,body-mass,feeding,,,,
15D,female,NA,5/19/16,24,31.1,483,high,,,,
15D,female,NA,5/18/19,26.6,33.9,640,high,,,,
15E,male,NA,5/19/16,20.4,28.2,381,high,,,,
15E,male,NA,5/17/17,21.6,29.8,425,high,,,,
15/6A,female,NA,5/17/11,24.6,33.1,538,high,,,,
15/6A,female,NA,5/19/15,26.3,34.7,670,high,,,,
15/6A,female,NA,5/19/16,27.5,35.3,761,high,,,,
15/7C,female,NA,5/16/13,23.5,33.5,514,high,,,,
15/7C,female,NA,5/17/15,26.1,36.1,646,high,,,,
15/7C,female,NA,5/19/16,27,38,805,high,,,,
15/7C,female,NA,6/23/16,28,38.2,815,high,,,,
15/7C,female,NA,5/18/19,31,41,1240,high,,,,
15/8A,female,3.7,5/17/11,16.5,NA,175,high,,,,
15/8A,female,5.7,5/16/13,22.3,NA,397,high,,,,
15/8A,female,7.7,5/18/15,24.5,NA,500,high,,,,
15/9B,female,5.7,5/16/13,18.4,24.6,200,high,,,,
15/9B,female,8.7,5/19/16,21.1,29,346,high,,,,
15/9B,female,9.7,5/16/17,22.2,30.6,425,high,,,,
15/9B,female,10.9,9/2/18,25.6,32.5,580,high,,,,
15/9B,female,10.7,5/18/19,25.8,33.4,690,high,,,,
15/0A,female,3.5,3/22/96,15.6,22,158,high,,,,
15/0A,female,7.5,3/20/00,21,30.5,410,high,,,,
15/0A,female,8.7,5/10/01,23.5,32.8,610,high,,,,
15/0A,female,9.7,5/17/02,24.9,33.9,610,high,,,,
15/0A,female,10.7,5/15/03,24.5,34.6,715,high,,,,
15/0A,female,11.7,5/12/04,25.5,34.5,661,high,,,,
15/0B,male,NA,5/15/02,28.5,38,811,high,,,,
15/0B,male,NA,5/14/03,31.7,38.8,1400,high,,,,
15/0B,male,NA,5/16/04,33,41.5,1535,high,,,,
15/0B,male,NA,5/14/05,33.8,43,1905,high,,,,
16F,male,2.7,5/18/15,14.1,20.1,130,high,,,,
16F,male,3.7,5/19/16,16.5,23.6,190,high,,,,
16F,male,4.7,5/14/17,18.6,26,245,high,,,,
16F,male,5.7,6/4/18,21,30.5,470,high,,,,
16F,male,5.9,9/2/18,22.7,NA,440,high,,,,
16F,male,6.7,5/18/19,24,NA,535,high,,,,
16/0A,female,7.5,3/22/96,22.2,29,418,high,,,,
16/0A,female,11.5,3/23/00,24.8,32.6,630,high,,,,
16/0A,female,12.7,5/9/01,25.5,32.8,660,high,,,,
16/0A,female,13.7,5/15/02,27.2,34.7,768,high,,,,
16/0A,female,NA,7/11/02,27.2,NA,NA,high,,,,
16/0A,female,14.7,5/15/03,27.7,34.8,900,high,,,,
16/0A,female,15.7,5/12/04,28,35.5,845,high,,,,
16/0A,female,16.7,5/14/05,28.7,35.7,897,high,,,,
16/0B,male,NA,5/15/02,22.5,30.8,435,high,,,,
16/0B,male,NA,5/15/03,23.6,32.2,558,high,,,,
16/0B,male,NA,5/11/04,26,34.4,659,high,,,,
16/0B,male,NA,5/15/05,27.2,36.1,838,high,,,,
16/0B,male,NA,5/13/08,NA,NA,NA,high,,,,
